model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence,seed
LR,PGD_eps0.15_it25,3903,3336,0.2922661870503597,0.3950807071483474,PGD,0.15,25,ransomware,,42
LR,PGD_eps0.15_it25,4041,3649,0.0816662099205261,0.1623360554318238,PGD,0.15,25,scanning,,42
LR,PGD_eps0.15_it25,4002,3722,0.0024180548092423,0.0704647676161919,PGD,0.15,25,xss,,42
SVM,PGD_eps0.15_it25,4053,4053,0.5075252899087096,0.5075252899087096,PGD,0.15,25,backdoor,,42
SVM,PGD_eps0.15_it25,4004,2956,0.0294316644113667,0.0407092907092907,PGD,0.15,25,ddos,,42
SVM,PGD_eps0.15_it25,4117,3609,0.0157938487115544,0.1326208404177799,PGD,0.15,25,dos,,42
SVM,PGD_eps0.15_it25,3900,3740,0.010427807486631,0.0482051282051282,PGD,0.15,25,injection,,42
SVM,PGD_eps0.15_it25,209,113,0.0176991150442477,0.4449760765550239,PGD,0.15,25,mitm,,42
SVM,PGD_eps0.15_it25,10000,0,,,PGD,0.15,25,normal,,42
SVM,PGD_eps0.15_it25,3980,3936,0.0853658536585365,0.0947236180904522,PGD,0.15,25,password,,42
SVM,PGD_eps0.15_it25,3903,3328,0.3804086538461538,0.471688444786062,PGD,0.15,25,ransomware,,42
SVM,PGD_eps0.15_it25,4041,3653,0.1601423487544484,0.2284088097005691,PGD,0.15,25,scanning,,42
SVM,PGD_eps0.15_it25,4002,3719,0.0104866899704221,0.0777111444277861,PGD,0.15,25,xss,,42
RF,PGD_eps0.15_it25,4053,4053,0.999013076733284,0.999013076733284,PGD,0.15,25,backdoor,,42
RF,PGD_eps0.15_it25,4004,3988,0.7535105315947843,0.7517482517482518,PGD,0.15,25,ddos,,42
RF,PGD_eps0.15_it25,4117,4109,0.9931856899488928,0.9929560359485062,PGD,0.15,25,dos,,42
RF,PGD_eps0.15_it25,3900,3895,0.9779204107830552,0.9774358974358974,PGD,0.15,25,injection,,42
RF,PGD_eps0.15_it25,209,200,0.87,0.8660287081339713,PGD,0.15,25,mitm,,42
RF,PGD_eps0.15_it25,10000,0,,,PGD,0.15,25,normal,,42
RF,PGD_eps0.15_it25,3980,3980,0.9939698492462312,0.9939698492462312,PGD,0.15,25,password,,42
RF,PGD_eps0.15_it25,3903,3903,0.9930822444273636,0.9930822444273636,PGD,0.15,25,ransomware,,42
RF,PGD_eps0.15_it25,4041,4041,0.9774808215788172,0.9774808215788172,PGD,0.15,25,scanning,,42
RF,PGD_eps0.15_it25,4002,4002,0.9705147426286856,0.9705147426286856,PGD,0.15,25,xss,,42
MLP,PGD_eps0.15_it25,4053,4049,0.9997530254383798,0.999753269183321,PGD,0.15,25,backdoor,,42
MLP,PGD_eps0.15_it25,4004,2975,0.9952941176470588,0.74000999000999,PGD,0.15,25,ddos,,42
MLP,PGD_eps0.15_it25,4117,4066,1.0,0.9880981297060968,PGD,0.15,25,dos,,42
MLP,PGD_eps0.15_it25,3900,3867,0.99974140160331,0.9912820512820512,PGD,0.15,25,injection,,42
MLP,PGD_eps0.15_it25,209,160,0.98125,0.7559808612440191,PGD,0.15,25,mitm,,42
MLP,PGD_eps0.15_it25,10000,0,,,PGD,0.15,25,normal,,42
MLP,PGD_eps0.15_it25,3980,3970,1.0,0.9984924623115576,PGD,0.15,25,password,,42
MLP,PGD_eps0.15_it25,3903,3860,1.0,0.988982833717653,PGD,0.15,25,ransomware,,42
MLP,PGD_eps0.15_it25,4041,3976,1.0,0.9841623360554318,PGD,0.15,25,scanning,,42
MLP,PGD_eps0.15_it25,4002,3943,1.0,0.9855072463768116,PGD,0.15,25,xss,,42
LR,PGD_eps0.3_it10,4053,4050,0.5083950617283951,0.5087589439921046,PGD,0.3,10,backdoor,,42
LR,PGD_eps0.3_it10,4004,2956,0.0852503382949932,0.0959040959040959,PGD,0.3,10,ddos,,42
LR,PGD_eps0.3_it10,4117,3608,0.8747228381374723,0.8848676220548943,PGD,0.3,10,dos,,42
LR,PGD_eps0.3_it10,3900,3740,0.0064171122994652,0.0435897435897435,PGD,0.3,10,injection,,42
LR,PGD_eps0.3_it10,209,112,0.0357142857142857,0.4593301435406698,PGD,0.3,10,mitm,,42
LR,PGD_eps0.3_it10,10000,0,,,PGD,0.3,10,normal,,42
LR,PGD_eps0.3_it10,3980,3935,0.0752223634053367,0.0846733668341708,PGD,0.3,10,password,,42
LR,PGD_eps0.3_it10,3903,3336,0.4424460431654676,0.522931078657443,PGD,0.3,10,ransomware,,42
LR,PGD_eps0.3_it10,4041,3649,0.2417100575500137,0.3038851769364019,PGD,0.3,10,scanning,,42
LR,PGD_eps0.3_it10,4002,3722,0.0112842557764642,0.0772113943028485,PGD,0.3,10,xss,,42
SVM,PGD_eps0.3_it10,4053,4053,0.5082654823587466,0.5082654823587466,PGD,0.3,10,backdoor,,42
SVM,PGD_eps0.3_it10,4004,2956,0.2165087956698241,0.1718281718281718,PGD,0.3,10,ddos,,42
SVM,PGD_eps0.3_it10,4117,3609,0.9927957883070102,0.9873694437697352,PGD,0.3,10,dos,,42
SVM,PGD_eps0.3_it10,3900,3740,0.2179144385026738,0.2461538461538461,PGD,0.3,10,injection,,42
SVM,PGD_eps0.3_it10,209,113,0.3008849557522124,0.5933014354066986,PGD,0.3,10,mitm,,42
