accuracy,precision,recall,f1,fpr,fnr,model,split,n_train,n_test,test_attack_rate,attack,asr,family,epsilon,iters,confidence
0.14162806088682992,0.014291983895281165,0.017111395412592524,0.015575125547156864,0.7764500759044656,0.9828886045874075,SVM,temporal,441209,110303,0.3968341749544437,FGSM_eps0.5,0.5628042754956801,FGSM,0.5,1.0,
0.6028213194564065,0.0,0.0,0.0,0.0005711623153116592,1.0,RF,temporal,441209,110303,0.3968341749544437,FGSM_eps0.5,0.12093052772816695,FGSM,0.5,1.0,
0.27302974533784213,0.018892852424362533,0.016334643150872703,0.01752085962483306,0.5580857044084713,0.9836653568491273,MLP,temporal,441209,110303,0.3968341749544437,FGSM_eps0.5,0.7249848145562677,FGSM,0.5,1.0,
0.24642122154429164,0.01817113189988735,0.016951475829297267,0.017540127177741532,0.6026063038282906,0.9830485241707028,LR,temporal,441209,110303,0.3968341749544437,FGSM_eps0.75,0.4613927091738212,FGSM,0.75,1.0,
0.13862723588660328,0.014515273250966422,0.017499771543452437,0.015868412330129266,0.7816807202657408,0.9825002284565476,SVM,temporal,441209,110303,0.3968341749544437,FGSM_eps0.75,0.5659592214173685,FGSM,0.75,1.0,
0.6026581325983881,0.0,0.0,0.0,0.0008417128857224451,1.0,RF,temporal,441209,110303,0.3968341749544437,FGSM_eps0.75,0.12109371458618533,FGSM,0.75,1.0,
0.22377451202596485,0.016588115700951853,0.0164031801151421,0.016495129571769896,0.6397919766725286,0.9835968198848579,MLP,temporal,441209,110303,0.3968341749544437,FGSM_eps0.75,0.7742672456778148,FGSM,0.75,1.0,
0.2796750768338123,0.01960256341213851,0.016631636662706752,0.017995303423557037,0.5472636815920398,0.9833683633372933,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it10,0.42493857827982917,PGD,0.15,10.0,
0.2180901698049917,0.019589657746510735,0.019784337019098968,0.01968651610043306,0.6514406817874374,0.980215662980901,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it10,0.48546277073153044,PGD,0.15,10.0,
0.6094666509523766,0.8088888888888889,0.02078954582838344,0.04053722965899726,0.0032315762576843876,0.9792104541716166,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it10,0.11428519623219677,PGD,0.15,10.0,
0.32503195742636193,0.01999561911318334,0.01459837338938134,0.016875965614229688,0.47072793134027746,0.9854016266106187,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it10,0.6710062282984144,PGD,0.15,10.0,
0.2862478808373299,0.019755460914960846,0.016426025769898565,0.017937555353200196,0.5362312305541778,0.9835739742301014,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it25,0.4191363788836206,PGD,0.15,25.0,
0.21454538861137049,0.01937480378526259,0.01973864570958604,0.019555032478555102,0.6572875802257594,0.9802613542904139,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it25,0.4889894200520385,PGD,0.15,25.0,
0.6136279158318451,0.9080622347949081,0.02933382070730147,0.05683176205019254,0.001953976341855676,0.9706661792926985,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it25,0.1101239313527284,PGD,0.15,25.0,
0.3267544853721114,0.020054780719705317,0.01455268207986841,0.016866353346130934,0.46784205858922906,0.9854473179201316,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it25,0.6692746344161083,PGD,0.15,25.0,
0.18642285341287182,0.018518518518518517,0.020195558804715342,0.019320715128731913,0.7042130736047857,0.9798044411952846,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it10,0.5211825607644398,PGD,0.3,10.0,
0.04081484637770505,0.012710732634688202,0.018482134697980445,0.01506251221850883,0.9444920413040537,0.9815178653020196,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it10,0.6636718856241444,PGD,0.3,10.0,
0.6104367061639303,0.7939882697947214,0.024741844101251943,0.047988302020560085,0.00422359501585727,0.9752581558987481,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it10,0.11331514102064313,PGD,0.3,10.0,
0.18128246738529324,0.013099797015924832,0.014301379877547291,0.013674242837951486,0.7088575250635042,0.9856986201224527,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it10,0.8158980263456116,PGD,0.3,10.0,
0.17383933347234437,0.017818596505518675,0.019989947911907155,0.018841921660673142,0.7249402534157009,0.9800100520880929,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it25,0.5321160802516705,PGD,0.3,25.0,
0.04304506677062274,0.012360100396217778,0.017888147674312346,0.014618982272383566,0.9404037215734019,0.9821118523256877,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it25,0.6614325992946701,PGD,0.3,25.0,
0.6019781873566449,0.3572984749455338,0.0037466873800603125,0.007415613483755737,0.004434023237287881,0.9962533126199397,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it25,0.12177365982792852,PGD,0.3,25.0,
0.17870774140322565,0.012738588347938305,0.013981540710956777,0.01333115504002614,0.712915783619666,0.9860184592890432,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it25,0.8183458292158872,PGD,0.3,25.0,
0.09975249993200548,0.014445610353270374,0.018870510828840354,0.016364212695142245,0.8470337136071906,0.9811294891711596,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it10,0.6079345076743153,PGD,0.5,10.0,
0.01530330090750025,0.012231265702808828,0.018573517317006304,0.01474950336081857,0.9868482361605868,0.9814264826829937,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it10,0.6892831563964715,PGD,0.5,10.0,
0.6033471437766879,0.5602409638554217,0.002124645892351275,0.0042332377440939505,0.0010972328688881874,0.9978753541076487,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it10,0.12040470340788555,PGD,0.5,10.0,
0.11089453596003736,0.013039657058812978,0.016608791007950287,0.014609394624466214,0.8270730937457726,0.9833912089920497,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it10,0.8872288151727514,PGD,0.5,10.0,
0.05530221299511346,0.01394675460468109,0.019807182673855433,0.016368218847050607,0.9213449369466865,0.9801928173261446,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it25,0.6516051240673417,PGD,0.5,25.0,
0.016690389200656373,0.012097625727818506,0.018322215114685188,0.014573074337215853,0.9843832198523996,0.9816777848853148,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it25,0.6878779362302022,PGD,0.5,25.0,
0.6007724177946203,0.2079646017699115,0.0021474915471077403,0.004251085383502171,0.0053809502337256315,0.9978525084528923,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it25,0.12297942938995313,PGD,0.5,25.0,
0.05465853149959657,0.011734133901478469,0.016608791007950287,0.013752269975786924,0.9203078264267784,0.9833912089920497,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it25,0.9434648196331922,PGD,0.5,25.0,
0.0723461737214763,0.013299862013931605,0.018276523805172255,0.015396014356783387,0.8920803835805865,0.9817234761948277,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.75_it10,0.6338721521626791,PGD,0.75,10.0,
0.010244508308930854,0.01172149139179645,0.017933838983825275,0.01417696829596453,0.99481444740046,0.9820661610161747,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.75_it10,0.6943782127412672,PGD,0.75,10.0,
0.5951515371295432,0.09375,0.002330256785159463,0.004547481052162282,0.014820159023613052,0.9976697432148406,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.75_it10,0.12862750786469995,PGD,0.75,10.0,
0.06067831337316301,0.011829395640255841,0.016563099698437358,0.013801637159718256,0.9102974553215795,0.9834369003015626,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.75_it10,0.9374269058865126,PGD,0.75,10.0,
0.04474946284325902,0.01315227872713764,0.019007584757379146,0.015546897627790079,0.9383144699463408,0.9809924152426208,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.75_it25,0.6630191381920709,PGD,0.75,25.0,
