accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.8,0.9534883720930232,0.7834394904458599,0.8601398601398601,0.1395348837209302,0.2165605095541401,LR,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,31
0.66,0.9009009009009008,0.6369426751592356,0.746268656716418,0.2558139534883721,0.3630573248407643,LR,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,31
0.645,0.8771929824561403,0.6369426751592356,0.7380073800738007,0.3255813953488372,0.3630573248407643,LR,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,31
0.64,0.8695652173913043,0.6369426751592356,0.7352941176470589,0.3488372093023256,0.3630573248407643,LR,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,31
0.585,0.7890625,0.643312101910828,0.7087719298245614,0.627906976744186,0.3566878980891719,LR,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,31
0.885,0.9855072463768116,0.8662420382165605,0.9220338983050848,0.0465116279069767,0.1337579617834395,LR,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0,31
0.89,0.9856115107913668,0.8726114649681529,0.9256756756756755,0.0465116279069767,0.1273885350318471,LR,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5,31
0.885,0.9855072463768116,0.8662420382165605,0.9220338983050848,0.0465116279069767,0.1337579617834395,SVM,0.25,Clean,0.000152359008789,50,200,,,,,31
0.85,0.9847328244274808,0.821656050955414,0.8958333333333334,0.0465116279069767,0.1783439490445859,SVM,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,31
0.795,0.967741935483871,0.7643312101910829,0.8540925266903915,0.0930232558139534,0.2356687898089172,SVM,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,31
0.725,0.8805970149253731,0.7515923566878981,0.8109965635738832,0.3720930232558139,0.2484076433121019,SVM,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,31
0.7,0.8646616541353384,0.732484076433121,0.7931034482758621,0.4186046511627907,0.267515923566879,SVM,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,31
0.89,0.9856115107913668,0.8726114649681529,0.9256756756756755,0.0465116279069767,0.1273885350318471,SVM,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,31
0.89,0.9856115107913668,0.8726114649681529,0.9256756756756755,0.0465116279069767,0.1273885350318471,SVM,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,31
0.81,0.9103448275862068,0.8407643312101911,0.8741721854304636,0.3023255813953488,0.1592356687898089,SVM,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,31
0.845,0.9090909090909092,0.89171974522293,0.9003215434083601,0.3255813953488372,0.10828025477707,SVM,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,31
0.7,0.8050314465408805,0.8152866242038217,0.810126582278481,0.7209302325581395,0.1847133757961783,SVM,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,31
0.75,0.8451612903225807,0.8343949044585988,0.8397435897435898,0.5581395348837209,0.1656050955414012,SVM,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,31
0.64,0.7777777777777778,0.7579617834394905,0.7677419354838709,0.7906976744186046,0.2420382165605095,SVM,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,31
0.595,0.7638888888888888,0.7006369426751592,0.7308970099667774,0.7906976744186046,0.2993630573248407,SVM,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,31
0.885,0.9855072463768116,0.8662420382165605,0.9220338983050848,0.0465116279069767,0.1337579617834395,SVM,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0,31
0.885,0.9855072463768116,0.8662420382165605,0.9220338983050848,0.0465116279069767,0.1337579617834395,SVM,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5,31
