accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.07,0.0,0.0,0.0,0.8556701030927835,1.0,LR,0.5,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.04,0.0,0.0,0.0,0.9175257731958762,1.0,LR,0.5,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.67,0.6831683168316832,0.6699029126213593,0.6764705882352942,0.3298969072164948,0.3300970873786408,LR,0.5,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.64,0.6631578947368421,0.6116504854368932,0.6363636363636364,0.3298969072164948,0.3883495145631068,LR,0.5,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.395,0.3676470588235294,0.2427184466019417,0.2923976608187134,0.4432989690721649,0.7572815533980582,LR,0.5,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.415,0.3970588235294117,0.2621359223300971,0.3157894736842105,0.422680412371134,0.7378640776699029,LR,0.5,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.195,0.0166666666666666,0.0097087378640776,0.0122699386503067,0.6082474226804123,0.9902912621359224,LR,0.5,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.21,0.0175438596491228,0.0097087378640776,0.0125,0.5773195876288659,0.9902912621359224,LR,0.5,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.155,0.0,0.0,0.0,0.6804123711340206,1.0,LR,0.5,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.145,0.0,0.0,0.0,0.7010309278350515,1.0,LR,0.5,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.67,0.6796116504854369,0.6796116504854369,0.6796116504854369,0.3402061855670103,0.3203883495145631,LR,0.5,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.69,0.6952380952380952,0.7087378640776699,0.7019230769230769,0.3298969072164948,0.2912621359223301,LR,0.5,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.875,0.89,0.8640776699029126,0.8768472906403941,0.1134020618556701,0.1359223300970873,SVM,0.5,Clean,0.00015389919281,50,200,,,,,42
0.425,0.4,0.233009708737864,0.294478527607362,0.3711340206185567,0.7669902912621359,SVM,0.5,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.08,0.0,0.0,0.0,0.8350515463917526,1.0,SVM,0.5,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.005,0.0,0.0,0.0,0.9896907216494846,1.0,SVM,0.5,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.005,0.0,0.0,0.0,0.9896907216494846,1.0,SVM,0.5,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.405,0.3823529411764705,0.2524271844660194,0.3040935672514619,0.4329896907216495,0.7475728155339806,SVM,0.5,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.41,0.3880597014925373,0.2524271844660194,0.3058823529411765,0.422680412371134,0.7475728155339806,SVM,0.5,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.125,0.0,0.0,0.0,0.7422680412371134,1.0,SVM,0.5,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.1,0.0,0.0,0.0,0.7938144329896907,1.0,SVM,0.5,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.005,0.0,0.0,0.0,0.9896907216494846,1.0,SVM,0.5,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.015,0.0,0.0,0.0,0.9690721649484536,1.0,SVM,0.5,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.005,0.0,0.0,0.0,0.9896907216494846,1.0,SVM,0.5,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.005,0.0,0.0,0.0,0.9896907216494846,1.0,SVM,0.5,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.49,0.5033112582781457,0.7378640776699029,0.5984251968503937,0.7731958762886598,0.2621359223300971,SVM,0.5,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.485,0.5,0.7281553398058253,0.5928853754940712,0.7731958762886598,0.2718446601941747,SVM,0.5,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,Clean,0.0052815902233123,50,200,,,,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.5,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.73,1.0,0.4757281553398058,0.6447368421052632,0.0,0.5242718446601942,MLP,0.5,Clean,0.0024247550964355,50,200,,,,,42
0.42,0.0,0.0,0.0,0.134020618556701,1.0,MLP,0.5,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.345,0.0,0.0,0.0,0.2886597938144329,1.0,MLP,0.5,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.18,0.0,0.0,0.0,0.6288659793814433,1.0,MLP,0.5,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.165,0.0,0.0,0.0,0.6597938144329897,1.0,MLP,0.5,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.43,0.0769230769230769,0.0097087378640776,0.0172413793103448,0.1237113402061855,0.9902912621359224,MLP,0.5,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.425,0.0714285714285714,0.0097087378640776,0.017094017094017,0.134020618556701,0.9902912621359224,MLP,0.5,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.29,0.0,0.0,0.0,0.4020618556701031,1.0,MLP,0.5,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.32,0.0,0.0,0.0,0.3402061855670103,1.0,MLP,0.5,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.21,0.0,0.0,0.0,0.5670103092783505,1.0,MLP,0.5,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.185,0.0,0.0,0.0,0.6185567010309279,1.0,MLP,0.5,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.15,0.0,0.0,0.0,0.6907216494845361,1.0,MLP,0.5,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.13,0.0,0.0,0.0,0.7319587628865979,1.0,MLP,0.5,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.565,0.6904761904761905,0.2815533980582524,0.4,0.134020618556701,0.7184466019417476,MLP,0.5,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.545,0.6428571428571429,0.2621359223300971,0.3724137931034483,0.1546391752577319,0.7378640776699029,MLP,0.5,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.945,0.9493670886075948,0.9146341463414634,0.9316770186335404,0.0338983050847457,0.0853658536585365,LR,0.1,Clean,0.0001531982421875,50,200,,,,,7
0.735,0.6494845360824743,0.7682926829268293,0.7039106145251397,0.288135593220339,0.2317073170731707,LR,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,7
0.55,0.4615384615384615,0.5853658536585366,0.5161290322580645,0.4745762711864407,0.4146341463414634,LR,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,7
0.395,0.3333333333333333,0.4756097560975609,0.3919597989949748,0.6610169491525424,0.524390243902439,LR,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,7
