accuracy,precision,recall,f1,fpr,fnr,model,split,n_train,n_test,test_attack_rate,attack,asr,family,epsilon,iters,confidence,seed
0.0291016563466088,0.0081864077669902,0.0120396600566572,0.0097459938787021,0.959672934421548,0.9879603399433428,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it10,0.6635358965757958,PGD,0.3,10.0,,99
0.599902087885189,0.2799511002444987,0.0052316549392305,0.0102713612917694,0.0088530158873307,0.9947683450607694,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it10,0.1248288804474946,PGD,0.3,10.0,,99
0.1800404340770423,0.0110831761994552,0.0120853513661701,0.0115625887958733,0.7094587485533059,0.9879146486338298,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it10,0.8174120377505598,PGD,0.3,10.0,,99
0.5156160757187022,0.4310480243334714,0.6895960888239057,0.530496753047039,0.5988486570170296,0.3104039111760943,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it25,0.4295894037333527,PGD,0.3,25.0,,99
0.0318848988694777,0.0128486610179974,0.0189847391026226,0.0153253172027146,0.9596278426598128,0.9810152608973772,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it25,0.6607435881163704,PGD,0.3,25.0,,99
0.5967018122807176,0.1831111111111111,0.0047062048798318,0.0091765596810477,0.0138131096781951,0.995293795120168,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it25,0.1280291560519659,PGD,0.3,25.0,,99
0.1791338404213847,0.011060004181476,0.0120853513661701,0.0115499661579441,0.7109618072778103,0.9879146486338298,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it25,0.8183186314062174,PGD,0.3,25.0,,99
0.1278659691939475,0.010969535287204,0.0134332449968016,0.0120770218228498,0.7968465827959899,0.9865667550031983,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it10,0.548779271642657,PGD,0.5,10.0,,99
0.0278052274190185,0.0080920195944689,0.0119254317828748,0.0096416697451052,0.961747155461364,0.9880745682171252,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it10,0.6648141936302729,PGD,0.5,10.0,,99
0.5921779099389862,0.0750350631136044,0.0024444850589417,0.004734722775344,0.0198253445762125,0.9975555149410582,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it10,0.1318459153422844,PGD,0.5,10.0,,99
0.1429063579413071,0.0119963088280529,0.0142556885680343,0.0130287718712156,0.772451939697284,0.9857443114319656,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it10,0.8554073778591698,PGD,0.5,10.0,,99
0.1344659710071349,0.0096553294003831,0.0116284382710408,0.0105504254370964,0.7847168988892396,0.9883715617289592,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it25,0.5423152588778184,PGD,0.5,25.0,,99
0.0278868208480277,0.0082456330693284,0.0121538883304395,0.009825377916909,0.961762186048609,0.9878461116695604,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it25,0.6648232595668295,PGD,0.5,25.0,,99
0.592504283655023,0.0625,0.001919034999543,0.0037237343736146,0.018938539928755,0.998080965000457,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it25,0.1312475635295504,PGD,0.5,25.0,,99
0.1324986627743579,0.0117372658189752,0.0142556885680343,0.0128744738796731,0.789707053854594,0.9857443114319656,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.5_it25,0.8658150730261189,PGD,0.5,25.0,,99
0.0136986301369863,0.0077673136904581,0.0117198208900667,0.0093427306998852,0.9849994739294464,0.9882801791099332,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.75_it10,0.6630282041286275,PGD,0.75,10.0,,99
0.0272522052890673,0.0079624494601335,0.0117426665448231,0.0094899607662127,0.9625437765853512,0.9882573334551767,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.75_it10,0.6652765563946583,PGD,0.75,10.0,,99
0.5938732400750659,0.1372965322009908,0.0044320570227542,0.0085869204381985,0.0183222858517082,0.9955679429772456,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.75_it10,0.1308305304479479,PGD,0.75,10.0,,99
0.0119398384450105,0.0094183492311858,0.0143013798775472,0.0113572452330412,0.9896138642136748,0.9856986201224528,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.75_it10,0.9863920292285796,PGD,0.75,10.0,,99
