accuracy,precision,recall,f1,fpr,fnr,surrogate,hidden,epochs,surrogate_clean_acc,surrogate_train_s,target,epsilon,asr,seed
0.1216299019607843,0.0494868035190615,0.3300733496332518,0.0860694931463181,0.908231173380035,0.6699266503667481,longer,"[32, 12]",50,0.8863357843137255,23.86433815956116,SVM,0.5,0.8085171568627451,123
0.7637867647058824,0.0810185185185185,0.0855745721271393,0.0832342449464922,0.1390542907180385,0.9144254278728606,longer,"[32, 12]",50,0.8863357843137255,23.86433815956116,RF,0.5,0.1966911764705882,123
0.2787990196078431,0.1064346418454067,0.6430317848410758,0.1826388888888888,0.7733800350262697,0.3569682151589242,wider,"[128, 64]",12,0.8716299019607843,5.746404409408569,LR,0.3,0.6409313725490197,123
0.1338848039215686,0.0430839002267573,0.2787286063569682,0.0746317512274959,0.8868651488616462,0.7212713936430318,wider,"[128, 64]",12,0.8716299019607843,5.746404409408569,SVM,0.3,0.7941176470588235,123
0.8213848039215687,0.0515463917525773,0.0244498777506112,0.033167495854063,0.0644483362521891,0.9755501222493888,wider,"[128, 64]",12,0.8716299019607843,5.746404409408569,RF,0.3,0.1375612745098039,123
0.1927083333333333,0.0719230769230769,0.4572127139364303,0.1242937853107344,0.8451838879159369,0.5427872860635696,wider,"[128, 64]",12,0.8716299019607843,5.746404409408569,LR,0.5,0.7285539215686274,123
0.1338848039215686,0.0430839002267573,0.2787286063569682,0.0746317512274959,0.8868651488616462,0.7212713936430318,wider,"[128, 64]",12,0.8716299019607843,5.746404409408569,SVM,0.5,0.7941176470588235,123
0.7334558823529411,0.0609523809523809,0.0782396088019559,0.0685224839400428,0.1726795096322241,0.921760391198044,wider,"[128, 64]",12,0.8716299019607843,5.746404409408569,RF,0.5,0.228860294117647,123
0.2714460784313725,0.0993080993080993,0.5965770171149144,0.1702721563154222,0.7751313485113835,0.4034229828850856,wider_longer,"[128, 64]",50,0.8884803921568627,23.437208652496334,LR,0.3,0.6436887254901961,123
0.119485294117647,0.0392523364485981,0.2567237163814181,0.0680933852140077,0.9001751313485113,0.7432762836185819,wider_longer,"[128, 64]",50,0.8884803921568627,23.437208652496334,SVM,0.3,0.8069852941176471,123
